User,ConnectedUser,Likes,Shares,Comments,InteractionFrequency
user_0,user_86,23,41,16,3
user_0,user_87,87,10,6,1
user_0,user_49,41,20,30,4
user_0,user_99,35,22,18,6
user_0,user_30,69,6,22,10
user_1,user_2,34,49,6,8
user_1,user_87,24,38,7,7
user_1,user_43,90,36,20,6
user_1,user_9,90,20,0,1
user_1,user_46,10,30,10,6
user_2,user_35,7,21,2,1
user_2,user_64,72,31,23,10
user_2,user_4,100,44,21,7
user_2,user_79,84,19,22,6
user_3,user_16,62,17,36,1
user_3,user_96,26,17,34,9
user_3,user_9,0,11,48,6
user_3,user_43,27,36,2,4
user_3,user_54,70,6,6,7
user_4,user_38,84,33,30,7
user_4,user_78,2,17,22,10
user_4,user_36,26,13,28,8
user_4,user_87,71,32,18,4
user_4,user_55,80,42,33,1
user_5,user_99,38,23,2,3
user_5,user_36,6,46,8,9
user_5,user_91,82,14,45,8
user_5,user_44,4,33,3,6
user_5,user_2,12,15,26,7
user_6,user_26,23,11,23,4
user_6,user_70,0,16,42,8
user_6,user_32,22,25,6,9
user_6,user_13,75,49,3,6
user_6,user_24,88,50,24,1
user_7,user_45,35,47,48,9
user_7,user_4,99,26,34,9
user_7,user_17,47,46,11,3
user_7,user_56,48,19,7,10
user_7,user_93,100,26,37,2
user_8,user_11,25,11,37,10
user_8,user_10,56,14,3,2
user_8,user_86,30,18,6,10
user_8,user_83,1,43,10,1
user_8,user_32,35,21,42,7
user_9,user_51,71,46,5,9
user_9,user_29,92,12,9,10
user_9,user_86,42,14,10,2
user_9,user_23,31,49,18,6
user_9,user_60,95,41,19,8
user_10,user_63,98,42,33,2
user_10,user_32,45,34,24,9
user_10,user_25,38,24,11,7
user_10,user_15,18,10,28,1
user_10,user_12,82,7,28,3
user_11,user_6,60,29,41,7
user_11,user_29,69,23,33,2
user_11,user_35,82,28,4,8
user_11,user_24,52,47,41,4
user_11,user_15,51,41,31,5
user_12,user_10,97,2,34,10
user_12,user_75,3,42,12,8
user_12,user_3,88,42,35,3
user_12,user_74,35,32,48,4
user_12,user_45,95,11,48,1
user_13,user_66,62,19,4,6
user_13,user_43,85,2,33,10
user_13,user_31,100,8,21,10
user_13,user_41,76,49,6,3
user_13,user_92,57,33,2,7
user_14,user_83,36,2,6,7
user_14,user_51,87,31,20,7
user_14,user_23,96,34,30,5
user_14,user_40,60,6,27,3
user_14,user_38,13,21,13,3
user_15,user_33,46,7,39,5
user_15,user_47,28,3,40,3
user_15,user_77,88,46,1,4
user_15,user_88,99,31,29,7
user_15,user_1,40,47,14,6
user_16,user_21,85,5,8,4
user_16,user_96,45,13,40,4
user_16,user_29,33,17,24,10
user_16,user_68,30,45,46,6
user_16,user_91,44,3,1,2
user_17,user_28,5,28,45,6
user_17,user_40,97,41,17,8
user_17,user_97,55,16,4,6
user_17,user_26,42,6,33,2
user_17,user_29,70,12,44,1
user_18,user_52,63,16,41,9
user_18,user_91,7,7,13,4
user_18,user_25,14,16,2,7
user_18,user_49,2,43,34,2
user_18,user_24,15,8,45,6
user_19,user_3,19,45,25,2
user_19,user_58,10,45,25,3
user_19,user_96,81,13,10,1
user_19,user_54,7,19,44,1
user_19,user_72,28,6,27,6
user_20,user_77,54,5,37,1
user_20,user_54,88,50,31,4
user_20,user_45,83,42,35,5
user_20,user_30,33,24,7,5
user_20,user_15,100,16,50,1
user_21,user_16,88,29,41,3
user_21,user_26,7,24,45,10
user_21,user_66,6,3,8,2
user_21,user_91,63,4,11,6
user_21,user_69,4,31,27,9
user_22,user_74,60,12,9,4
user_22,user_32,34,12,3,5
user_22,user_2,15,15,44,5
user_22,user_1,20,42,44,10
user_22,user_72,69,5,17,3
user_23,user_76,70,0,21,3
user_23,user_46,8,18,4,2
user_23,user_44,46,24,26,6
user_23,user_55,40,48,31,6
user_23,user_73,98,18,29,1
user_24,user_10,77,26,25,8
user_24,user_18,51,41,33,9
user_24,user_55,95,41,17,10
user_24,user_58,76,21,45,4
user_24,user_90,51,32,14,7
user_25,user_95,14,46,35,4
user_25,user_16,49,36,6,8
user_25,user_42,69,2,40,9
user_25,user_78,2,8,41,5
user_25,user_72,62,49,22,8
user_26,user_75,82,6,27,8
user_26,user_29,68,45,36,3
user_26,user_76,81,23,43,2
user_26,user_92,75,42,25,3
user_26,user_19,67,45,27,1
user_27,user_35,22,3,4,2
user_27,user_18,12,14,14,2
user_27,user_52,88,46,28,10
user_27,user_15,92,41,9,7
user_28,user_64,60,3,3,5
user_28,user_73,28,14,40,9
user_28,user_32,95,31,29,4
user_28,user_30,34,29,26,3
user_28,user_24,20,36,17,1
user_29,user_64,70,8,10,1
user_29,user_45,16,12,14,2
user_29,user_88,56,18,4,2
user_29,user_63,99,32,16,9
user_29,user_0,50,5,12,1
user_30,user_16,73,24,45,6
